file_path,file_name,status,file_type,parse_method,chunk_count,avg_token_per_chunk,school_detected,year_detected,doc_type,has_ocr,char_count_raw,char_count_clean,needs_review,error_msg,processed_at
11 GPA/AP IB Alevel三大课程对比3.pdf,AP IB Alevel三大课程对比3.pdf,ocr_fallback,.pdf,scanned_skip,0,0,通用,unknown,标化资料,False,0,0,True,扫描版PDF，待OCR,2026-06-04
11 GPA/AP IB Alevel三大课程对比2.pdf,AP IB Alevel三大课程对比2.pdf,ocr_fallback,.pdf,scanned_skip,0,0,通用,unknown,标化资料,False,0,0,True,扫描版PDF，待OCR,2026-06-04
11 GPA/AP IB Alevel三大课程对比.pdf,AP IB Alevel三大课程对比.pdf,ocr_fallback,.pdf,scanned_skip,0,0,通用,unknown,标化资料,False,0,0,True,扫描版PDF，待OCR,2026-06-04
11 GPA/11.3 IB/220404 浑朴毕业生学术分享会 IB TOK.pdf,220404 浑朴毕业生学术分享会 IB TOK.pdf,success,.pdf,pdfplumber,14,197,通用,2040,叙述文章,False,3062,2544,False,,2026-06-04
11 GPA/11.3 IB/Math IA analyisis and approaches guide .pdf,Math IA analyisis and approaches guide .pdf,success,.pdf,pdfplumber,131,339,通用,unknown,标化资料,False,213962,219309,False,,2026-06-04
11 GPA/11.3 IB/Math IA step 1.pdf,Math IA step 1.pdf,success,.pdf,pdfplumber,4,546,通用,unknown,标化资料,False,9960,10991,False,,2026-06-04
11 GPA/11.3 IB/上海_上中国际 IB Program Selective Survey.pdf,上海_上中国际 IB Program Selective Survey.pdf,success,.pdf,pdfplumber,2,308,通用,unknown,school_profile,False,3077,2897,False,,2026-06-04
11 GPA/11.1 AP/AP Student-Score-Distributions-2020.pdf,AP Student-Score-Distributions-2020.pdf,success,.pdf,pdfplumber,5,762,通用,2020,标化资料,False,7388,7814,False,,2026-06-04
11 GPA/11.1 AP/AP 2021 Exam Dates - AP Central _ College Board.pdf,AP 2021 Exam Dates - AP Central _ College Board.pdf,success,.pdf,pdfplumber,9,209,通用,2021,标化资料,False,8742,7013,False,,2026-06-04
11 GPA/11.2 A-Level/CIE-2021-timetable-zone-5.pdf,CIE-2021-timetable-zone-5.pdf,success,.pdf,pdfplumber,26,625,通用,2021,标化资料,False,45918,48288,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/家长版-深国交4年案例.pdf,家长版-深国交4年案例.pdf,success,.pdf,pdfplumber,5,587,深圳_深国交,unknown,叙述文章,False,4979,5102,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/The school profile – Shenzhen College of International Education.pdf,The school profile – Shenzhen College of International Education.pdf,success,.pdf,pdfplumber,1,135,深圳_深国交,unknown,school_profile,False,470,459,False,,2026-06-04
11 GPA/11.2 A-Level/深圳_深国交/深国交2023美本录取发布.pdf,深国交2023美本录取发布.pdf,success,.pdf,pdfplumber,14,355,深圳_深国交,2023,叙述文章,False,6237,6115,False,,2026-06-04
11 GPA/11.1 AP/广东_碧桂园/碧桂园 AP IB school profile 2019-2020.pdf,碧桂园 AP IB school profile 2019-2020.pdf,success,.pdf,pdfplumber,17,168,广东_碧桂园,2019,school_profile,False,8835,8147,False,,2026-06-04
11 GPA/11.1 AP/广东_碧桂园/碧桂园 AP G1-G3选课说明.pdf,碧桂园 AP G1-G3选课说明.pdf,success,.pdf,pdfplumber,29,12,广东_碧桂园,unknown,课程介绍,False,2041,400,False,,2026-06-04
11 GPA/11.1 AP/上海_星河湾/上海星河湾 AP school profile.pdf,上海星河湾 AP school profile.pdf,success,.pdf,pdfplumber,12,204,上海_星河湾,unknown,school_profile,False,11250,11214,False,,2026-06-04
11 GPA/11.1 AP/广东_深圳中学/20220505家长会分享版（含2022录取结果）.pdf,20220505家长会分享版（含2022录取结果）.pdf,success,.pdf,pdfplumber,11,110,广东_深圳中学,2022,叙述文章,False,1835,1181,False,,2026-06-04
11 GPA/11.1 AP/上海_平和 IEP/2022IEP升学信息.pdf,2022IEP升学信息.pdf,success,.pdf,pdfplumber,2,500,上海_平和 IEP,2022,叙述文章,False,966,851,False,,2026-06-04
11 GPA/11.1 AP/上海_华二国际部/华东师大二附中2021届毕业生海外名校申请结果出炉！.pdf,华东师大二附中2021届毕业生海外名校申请结果出炉！.pdf,success,.pdf,pdfplumber,5,434,上海_华二国际部,2021,叙述文章,False,3295,2967,False,,2026-06-04
